Cliente;Login;Endereco;Numero;Bairro;Cidade;Estado
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_PC_DEDICADO_OLINDA;AVENIDA GETULIO VARGAS;1883; BAIRRO NOVO; OLINDA; PE
MUNICIPIO DE ELDORADO DO SUL;GRECIA_ARGENTINA;Esquina da Rua Grécia com Rua Argentina - Coordenadas: -30.000508;-51.316.388;;;
MUNICIPIO DE ELDORADO DO SUL;LAVANDA;RUA LAVANDA - Coordenadas: -29.989743;-51.316.540;;;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_LAGO_DA_PEDRA_COMPARTILHADO;AVENIDA ROSEANA SARNEY;93;VILA ROCHA; LAGO DA PEDRA; MA
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;HUB_FAVELA;Rua dos Tabajaras;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;PRACA_DO_FERREIRA;Rua Floriano Peixoto;;;;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_PC_DEDICADO_GUARABIRA;RUA COSTA BEIRIZ;165; CENTRO; GUARABIRA; PB
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;FROTINHA_ANTONIO_BEZERRA;Rua Cândido Maia;;;;
MUNICIPIO DE ELDORADO DO SUL;POLICIA_CIVIL;Av. Emancipação;;;;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_DIAMANTINA;RUA PADRE ROLIM;178; SAGRADO CORACAO; DIAMANTINA; MG
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_ASSU;RUA PREFEITO MANOEL MONTENEGRO;99; CENTRO; ASSU; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_PINHEIRO_BABACU;RUA JOSE ANASTACIO;447; CENTRO; PINHEIRO BABACU; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_MONTE_SANTO;RUA SÃO MIGUEL;129; CENTRO; MONTE SANTO; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_MACEIO_ANTARES;AVENIDA ANTÔNIO LISBOA DE AMORIM;2012; BENDITO BENTES; MACEIO ANTARES; AL
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_SAO_BENTO;AVENIDA EVANDRO SARNEY; S/N; CENTRO; SAO BENTO; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_ELESBAO_VELOSO;AVENIDA JOAO XXIII;238; CENTRO; ELESBAO VELOSO; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_CURIMATA;RUA TELESFORO GUERRA; S/N; CENTRO; CURIMATA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_CASTELO_DO_PIAUI;RUA FELIX PACHECO;361; CENTRO; CASTELO DO PIAUI; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_BURITI_DOS_LOPES;RUA EPAMINONDAS CASTELO BRANCO;119; CENTRO; BURITI DOS LOPES; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ASSU;RUA PREFEITO MANOEL MONTENEGRO;99; CENTRO; ASSU; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_VITORIA_DA_CONQUISTA_BRASIL;AVENIDA TEREZINA;130; BRASIL; VITORIA DA CONQUISTA; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BL_PC_VITORIA_DA_CONQUISTA_BRASIL;AVENIDA TEREZINA;130; BRASIL; VITORIA DA CONQUISTA_BA;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_VALENCA_DO_PIAUI;RUA AEROLINO DE ABREU; S/N; CENTRO; VALENCA DO PIAUI; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_VALENCA_DO_PIAUI;RUA AEROLINO DE ABREU; S/N; CENTRO; VALENCA DO PIAUI; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_URUCUI;RUA HERMES NEIVA;360; CENTRO; URUCUI; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_URUCUI;RUA HERMES NEIVA;360; CENTRO; URUCUI; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_CRATO;AVENIDA THOMAS OSTERNE DE ALENCAR;1273; VILA ALTA; CRATO; CE
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_UMARIZAL;RUA PORCINO COSTA;267; CENTRO; UMARIZAL; RN
