Linha_Planilha,Status_Final,Status_Execucao_Reimportacao,Ticket_ID_IXC,Ticket_Data_Criacao,Ticket_Status_IXC,Ticket_SU_Status_IXC,Ticket_Protocolo_IXC,Cliente_ID,Login_ID,Contrato_ID,Filial_ID,Assunto_ID,Departamento_ID,Assunto_Descricao,Descricao,Mensagem_Reimportacao
2,CRIADO_ANTES,NAO_APLICAVEL,8017,2026-05-28 17:21:48,OSAB,EP,,575,5983,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
3,CRIADO_ANTES,NAO_APLICAVEL,8018,2026-05-28 17:21:49,OSAB,EP,,575,5982,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
4,CRIADO_ANTES,NAO_APLICAVEL,8019,2026-05-28 17:21:49,OSAB,EP,,575,5981,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
5,CRIADO_ANTES,NAO_APLICAVEL,8020,2026-05-28 17:21:50,OSAB,EP,,575,5980,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
6,CRIADO_ANTES,NAO_APLICAVEL,8021,2026-05-28 17:21:50,OSAB,EP,,575,5979,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
7,CRIADO_ANTES,NAO_APLICAVEL,8022,2026-05-28 17:21:51,OSAB,EP,,575,5978,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
8,CRIADO_ANTES,NAO_APLICAVEL,8023,2026-05-28 17:21:51,OSAB,EP,,575,5977,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
9,CRIADO_ANTES,NAO_APLICAVEL,8024,2026-05-28 17:21:51,OSAB,EP,,575,5976,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
10,CRIADO_ANTES,NAO_APLICAVEL,8025,2026-05-28 17:21:52,OSAB,EP,,575,5975,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
11,CRIADO_ANTES,NAO_APLICAVEL,8026,2026-05-28 17:21:52,OSAB,EP,,575,5974,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
12,CRIADO_ANTES,NAO_APLICAVEL,8027,2026-05-28 17:21:53,OSAB,EP,,575,5973,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
13,CRIADO_ANTES,NAO_APLICAVEL,8028,2026-05-28 17:21:53,OSAB,EP,,575,5972,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
14,CRIADO_ANTES,NAO_APLICAVEL,8029,2026-05-28 17:21:54,OSAB,EP,,575,5971,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
15,CRIADO_ANTES,NAO_APLICAVEL,8030,2026-05-28 17:21:54,OSAB,EP,,575,5970,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
16,CRIADO_ANTES,NAO_APLICAVEL,8031,2026-05-28 17:21:55,OSAB,EP,,575,5969,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
17,CRIADO_ANTES,NAO_APLICAVEL,8032,2026-05-28 17:21:55,OSAB,EP,,575,5968,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
18,CRIADO_ANTES,NAO_APLICAVEL,8033,2026-05-28 17:21:56,OSAB,EP,,575,5967,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
19,CRIADO_ANTES,NAO_APLICAVEL,8034,2026-05-28 17:21:56,OSAB,EP,,575,5966,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
20,CRIADO_ANTES,NAO_APLICAVEL,8035,2026-05-28 17:21:56,OSAB,EP,,575,5965,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
21,CRIADO_ANTES,NAO_APLICAVEL,8036,2026-05-28 17:21:57,OSAB,EP,,575,5964,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
22,CRIADO_ANTES,NAO_APLICAVEL,8037,2026-05-28 17:21:58,OSAB,EP,,575,5963,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
23,CRIADO_ANTES,NAO_APLICAVEL,8038,2026-05-28 17:21:59,OSAB,EP,,575,5962,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
24,CRIADO_ANTES,NAO_APLICAVEL,8039,2026-05-28 17:22:00,OSAB,EP,,575,5961,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
25,CRIADO_ANTES,NAO_APLICAVEL,8040,2026-05-28 17:22:01,OSAB,EP,,575,5960,1277,18,141,51,Ativação Rede Interna EACE,"Fornecimento de solução completa de Rede Wi-Fi contemplando dimensionamento, projeto, materiais, equipamentos, miscelâneas, taxas, licenças, instalação, cabeamento, comissionamento, configurações, logística associada e todos os serviços necessários, de modo a viabilizar cobertura adequada em todas as dependências educacionais e administrativas das escolas (inclui laboratório de informática quando houver, salas de aula, ambientes educacionais e administrativos, auditórios etc.) em conformidade com as funcionalidades, requisitos técnicos e padrões de instalação estabelecidos em RFP e seus anexos.",
